DBN,min,max,mean
01M292,11,26,18.96153846
01M448,13.3,32,24.52413793
01M450,14.7,33,24.02173913
01M458,25,34,30.58333333
01M509,5,31.5,18.57419355
01M515,20,34,26.58235294
01M539,17.5,34,27.95
01M650,17,32.5,26.37142857
01M696,12,23,18.99230769
02M047,5,26,16.124
02M135,15.3,30,21.01363636
02M139,16,30,23.58636364
02M260,17,33,26.375
02M280,17,27.5,23.83636364
02M282,20,31.5,24.575
02M288,16.5,29,22.6
02M294,16,23,20.88181818
02M296,12,33,21.70454545
02M298,21,29,26.21
02M300,14,32,23.47407407
02M303,18,32.3,26.26153846
02M305,18,30,23.70714286
02M308,15.7,32,26.11666667
02M313,10,31.5,24.34761905
02M316,17,32,25.75862069
02M374,16.5,34,27.58333333
02M376,20.7,90,43
02M392,18.9,34,28.23870968
02M393,21,31.5,27.27037037
02M394,18.5,28,23.59285714
02M399,17.5,33,25.83103448
02M400,8.5,39.5,25.45333333
02M408,17.5,36,28.96538462
02M411,17,33,26.52727273
02M412,20,40.5,28.76571429
02M413,20,32,27.50357143
02M414,16,34,26.53333333
02M416,22,34,28.852
02M418,21,33,28.56666667
02M419,18,31,25.08666667
02M420,11,34,29.41052632
02M422,10,33,22.52307692
02M425,8,34,24.52894737
02M427,12,34,22.08235294
02M432,10,29,20.61428571
02M437,19.5,33,28.81764706
02M438,11.3,23,17.22857143
02M439,13,33,23.64722222
02M449,11,27,22.52857143
02M475,26.3,34,31.325
02M489,6,34,25.27777778
02M500,19,31.5,25.536
02M507,12.8,31,24.75294118
02M519,14,34,26.6875
02M520,5,33,23.20526316
02M529,14.3,34,26.52
02M531,13.7,34,24.22380952
02M533,14,29.5,23.87857143
02M534,12,30,23.56956522
02M542,13.5,32,23.11
02M543,18,33.5,24.128
02M544,21.7,31.5,26.68571429
02M545,20.3,31.7,24.87647059
02M546,21.5,34,28.39285714
02M550,19,32,24.20666667
02M551,12,33,25.73103448
02M560,12.5,39,21.67857143
02M575,11,26,20.16875
02M580,21.5,33.5,28.4
02M586,10,15,12.22727273
02M600,9,33.5,25.30232558
02M605,14,29,24.58888889
02M615,14,34,25.2375
02M625,5,23,14.45625
02M630,9,33.3,27.4
02M655,7,35,26.10666667
03M299,12,32,23.43428571
03M307,13,31,23.115625
03M402,10,31,17.74516129
03M403,10,34,22.84516129
03M404,11,32,18.86428571
03M415,6,34,20.69230769
03M417,11,30,19.22222222
03M479,26,34,32.50454545
03M485,24.5,33.6,31.55
03M492,5,33,24.40714286
03M494,5,33.5,25.35714286
03M505,12.7,31.4,23.40416667
03M541,14.5,32,25.68888889
03M859,14,29,18.03333333
03M860,6,32,19.41875
04M372,10,33,20.515625
04M377,10,11,10.33333333
04M409,11,35,23.72173913
04M435,15.5,41,30.50833333
04M495,14,27,21.315625
04M555,17,33,25.94193548
04M610,15.2,37,25.81578947
04M680,11,32,24.77931034
05M157,11,28,18.84166667
05M285,10.5,34,21.77777778
05M304,9,31,24.75454545
05M362,16.5,34,27.47916667
05M367,11,36,24.44230769
05M369,13,32,24.15
05M469,15,22,17.5
05M499,6,32,23.84411765
05M670,14,34,25.42666667
05M685,6,16,10.5
05M692,16,33.5,26.19444444
06M211,15,28,23.00833333
06M293,14,34,23.69333333
06M346,14,34,27.409375
06M348,16,34,26.71923077
06M423,12,29,20.65789474
06M462,18.3,34,29.224
06M463,14.5,33.5,24.43448276
06M467,6,33,21.67692308
06M468,16.3,33,25.98529412
06M540,5,34,24.16428571
06M552,13.8,33,26.50714286
07X221,15,25,21.59677419
07X223,20,32.5,23.9
07X259,14,33,24.775
07X321,21,27,24
07X334,17,27,20.33333333
07X379,11,30,21.72
07X381,16,28.3,22.75
07X427,17.5,37,25.47619048
07X473,12,29,18.59411765
07X495,20.5,38,28.10357143
07X500,12,31,23.25757576
07X520,12,24,17.18095238
07X522,14,27.4,21.57241379
07X527,17,35,26.92608696
07X547,5,34,22.89
07X548,13.8,32.3,23.80909091
07X551,6,34,22.2325
07X557,10,50,21.56842105
07X600,11,30.1,22.50909091
07X670,5,33,24.959375
08X269,11,32.5,23.61851852
08X282,16.5,28.5,21.06785714
08X293,11,34,27.96774194
08X305,12.5,31,21.60967742
08X312,12,34,28.04193548
08X320,11.8,34,24.04137931
08X332,13,27,21.38518519
08X348,16,29,23.55
08X349,16.3,31,24.01304348
08X367,9,31,20.38409091
08X376,12,33,25.65517241
